key,en_US,pl_PL
menu.play,Play,Graj
menu.settings,Settings,Opcje
menu.quit,Quit,Wyjdź
dialogue.error.line_undefined,"The line {translation id} does not exist.",PL_ERROR_1
dialogue.test.1.1,"This text is purely for testing purposes.\nYou have {money} money and {knowledge} knowledge points.",PL_TEST_1
dialogue.test.1.2,"Second character should appear on the left",PL_TEST_2
dialogue.test.1.3,"Repeating second character should stay left",PL_TEST_3
dialogue.test.1.4,"Third character should appear on the right",PL_TEST_4
dialogue.test.1.5,"And the first one on the left this time, btw it's been {day} days",PL_TEST_5
dialogue.postbox.1.1,"This is just a postbox. Nothing else.",PL_POSTBOX_1
dialogue.postbox.1.2,"Put requested concepts into it to fulfill requests.",PL_POSTBOX_2
dialogue.postbox.1.3,"Or just dump whatever you don't need here. It will stay here until someone wants it.",PL_POSTBOX_3
